E=500.000000000000
    1.00   0.14273E+07   0.52209E-08
    1.10   0.97391E+06   0.64376E-08
    1.20   0.68684E+06   0.77862E-08
    1.30   0.49800E+06   0.92673E-08
    1.40   0.36969E+06   0.10881E-07
    1.50   0.28007E+06   0.12627E-07
    1.60   0.21596E+06   0.14506E-07
    1.70   0.16912E+06   0.16518E-07
    1.80   0.13426E+06   0.18663E-07
    1.90   0.10790E+06   0.20941E-07
    2.00   0.87670E+05   0.23351E-07
    2.10   0.71936E+05   0.25894E-07
    2.20   0.59554E+05   0.28569E-07
    2.30   0.49705E+05   0.31377E-07
    2.40   0.41793E+05   0.34316E-07
    2.50   0.35379E+05   0.37388E-07
    2.60   0.30137E+05   0.40591E-07
    2.70   0.25820E+05   0.43926E-07
    2.80   0.22240E+05   0.47393E-07
    2.90   0.19250E+05   0.50991E-07
    3.00   0.16740E+05   0.54720E-07
    3.10   0.14619E+05   0.58580E-07
    3.20   0.12818E+05   0.62570E-07
    3.30   0.11281E+05   0.66692E-07
    3.40   0.99630E+04   0.70943E-07
    3.50   0.88281E+04   0.75325E-07
    3.60   0.78468E+04   0.79837E-07
    3.70   0.69950E+04   0.84479E-07
    3.80   0.62528E+04   0.89251E-07
    3.90   0.56040E+04   0.94152E-07
    4.00   0.50349E+04   0.99183E-07
    4.10   0.45341E+04   0.10434E-06
    4.20   0.40922E+04   0.10963E-06
    4.30   0.37011E+04   0.11505E-06
    4.40   0.33540E+04   0.12060E-06
    4.50   0.30453E+04   0.12627E-06
    4.60   0.27700E+04   0.13208E-06
    4.70   0.25240E+04   0.13801E-06
    4.80   0.23035E+04   0.14407E-06
    4.90   0.21057E+04   0.15026E-06
    5.00   0.19277E+04   0.15658E-06
    5.10   0.17672E+04   0.16302E-06
    5.20   0.16224E+04   0.16960E-06
    5.30   0.14913E+04   0.17630E-06
    5.40   0.13726E+04   0.18313E-06
    5.50   0.12649E+04   0.19008E-06
    5.60   0.11669E+04   0.19717E-06
    5.70   0.10777E+04   0.20438E-06
    5.80   0.99643E+03   0.21172E-06
    5.90   0.92220E+03   0.21918E-06
    6.00   0.85433E+03   0.22677E-06
    6.10   0.79220E+03   0.23449E-06
    6.20   0.73526E+03   0.24234E-06
    6.30   0.68300E+03   0.25031E-06
    6.40   0.63499E+03   0.25841E-06
    6.50   0.59082E+03   0.26664E-06
    6.60   0.55016E+03   0.27499E-06
    6.70   0.51267E+03   0.28347E-06
    6.80   0.47809E+03   0.29207E-06
    6.90   0.44614E+03   0.30081E-06
    7.00   0.41661E+03   0.30966E-06
    7.10   0.38928E+03   0.31865E-06
    7.20   0.36397E+03   0.32776E-06
    7.30   0.34051E+03   0.33699E-06
    7.40   0.31875E+03   0.34636E-06
    7.50   0.29854E+03   0.35584E-06
    7.60   0.27976E+03   0.36546E-06
    7.70   0.26230E+03   0.37520E-06
    7.80   0.24605E+03   0.38506E-06
    7.90   0.23092E+03   0.39505E-06
    8.00   0.21682E+03   0.40517E-06
    8.10   0.20368E+03   0.41541E-06
    8.20   0.19141E+03   0.42577E-06
    8.30   0.17995E+03   0.43627E-06
    8.40   0.16925E+03   0.44688E-06
    8.50   0.15925E+03   0.45762E-06
    8.60   0.14990E+03   0.46849E-06
    8.70   0.14114E+03   0.47948E-06
    8.80   0.13295E+03   0.49060E-06
    8.90   0.12527E+03   0.50184E-06
    9.00   0.11807E+03   0.51321E-06
    9.10   0.11132E+03   0.52470E-06
    9.20   0.10499E+03   0.53631E-06
    9.30   0.99049E+02   0.54805E-06
    9.40   0.93469E+02   0.55992E-06
    9.50   0.88227E+02   0.57191E-06
    9.60   0.83300E+02   0.58402E-06
    9.70   0.78668E+02   0.59626E-06
    9.80   0.74312E+02   0.60862E-06
    9.90   0.70213E+02   0.62110E-06
   10.00   0.66354E+02   0.63371E-06
   10.10   0.62722E+02   0.64644E-06
   10.20   0.59300E+02   0.65930E-06
   10.30   0.56075E+02   0.67228E-06
   10.40   0.53036E+02   0.68538E-06
   10.50   0.50171E+02   0.69861E-06
   10.60   0.47469E+02   0.71196E-06
   10.70   0.44919E+02   0.72543E-06
   10.80   0.42513E+02   0.73902E-06
   10.90   0.40242E+02   0.75274E-06
   11.00   0.38098E+02   0.76658E-06
   11.10   0.36073E+02   0.78055E-06
   11.20   0.34160E+02   0.79463E-06
   11.30   0.32352E+02   0.80884E-06
   11.40   0.30644E+02   0.82317E-06
   11.50   0.29029E+02   0.83762E-06
   11.60   0.27502E+02   0.85220E-06
   11.70   0.26058E+02   0.86689E-06
   11.80   0.24692E+02   0.88171E-06
   11.90   0.23399E+02   0.89665E-06
   12.00   0.22176E+02   0.91171E-06
   12.10   0.21018E+02   0.92689E-06
   12.20   0.19922E+02   0.94219E-06
   12.30   0.18885E+02   0.95761E-06
   12.40   0.17902E+02   0.97315E-06
   12.50   0.16972E+02   0.98881E-06
   12.60   0.16091E+02   0.10046E-05
   12.70   0.15256E+02   0.10205E-05
   12.80   0.14464E+02   0.10365E-05
   12.90   0.13715E+02   0.10527E-05
   13.00   0.13004E+02   0.10689E-05
   13.10   0.12331E+02   0.10853E-05
   13.20   0.11692E+02   0.11018E-05
   13.30   0.11087E+02   0.11184E-05
   13.40   0.10513E+02   0.11351E-05
   13.50   0.99693E+01   0.11520E-05
   13.60   0.94533E+01   0.11689E-05
   13.70   0.89640E+01   0.11860E-05
   13.80   0.84998E+01   0.12032E-05
   13.90   0.80596E+01   0.12205E-05
   14.00   0.76420E+01   0.12380E-05
   14.10   0.72459E+01   0.12555E-05
