E=550
    2.00    .12894E+07     .17835E-07 
    2.20    .87651E+06     .26581E-07 
    2.40    .61435E+06     .36560E-07 
    2.60    .44159E+06     .47689E-07 
    2.80    .32418E+06     .59886E-07 
    3.00    .24225E+06     .73072E-07 
    3.20    .18380E+06     .87176E-07 
    3.40    .14127E+06     .10213E-06 
    3.60    .10982E+06     .11787E-06 
    3.80    .86201E+05     .13433E-06 
    4.00    .68242E+05     .15145E-06 
    4.20    .54430E+05     .16919E-06 
    4.40    .43698E+05     .18748E-06 
    4.60    .35285E+05     .20628E-06 
    4.80    .28636E+05     .22553E-06 
    5.00    .23345E+05     .24518E-06 
    5.20    .19106E+05     .26519E-06 
    5.40    .15691E+05     .28549E-06 
    5.60    .12926E+05     .30604E-06 
    5.80    .10677E+05     .32678E-06 
    6.00    .88396E+04     .34766E-06 
    6.20    .73334E+04     .36862E-06 
    6.40    .60945E+04     .38960E-06 
    6.60    .50726E+04     .41053E-06 
    6.80    .42274E+04     .43136E-06 
    7.00    .35269E+04     .45202E-06 
    7.20    .29451E+04     .47243E-06 
    7.40    .24611E+04     .49252E-06 
    7.60    .20578E+04     .51223E-06 
    7.80    .17213E+04     .53146E-06 
    8.00    .14404E+04     .55015E-06 
    8.20    .12056E+04     .56821E-06 
    8.40    .10092E+04     .58557E-06 
    8.60    .84492E+03     .60216E-06 
    8.80    .70741E+03     .61789E-06 
    9.00    .59231E+03     .63271E-06 
    9.20    .49595E+03     .64656E-06 
    9.40    .41530E+03     .65942E-06 
    9.60    .34781E+03     .67126E-06 
    9.80    .29135E+03     .68210E-06    
   10.00    .24415E+03     .69199E-06 
   10.20    .20469E+03     .70103E-06 
   10.40    .17174E+03     .70938E-06 
   10.60    .14422E+03     .71724E-06 
   10.80    .12127E+03     .72493E-06 
   11.00    .10213E+03     .73282E-06 
   11.20    .86176E+02     .74138E-06 
   11.40    .72888E+02     .75119E-06 
   11.60    .61822E+02     .76289E-06 
   11.80    .52608E+02     .77719E-06 
   12.00    .44934E+02     .79487E-06 
   12.20    .38540E+02     .81668E-06 
   12.40    .33209E+02     .84333E-06 
   12.60    .28758E+02     .87544E-06 
   12.80    .25035E+02     .91347E-06 
   13.00    .21913E+02     .95769E-06 
   13.20    .19287E+02     .10081E-05 
   13.40    .17070E+02     .10645E-05 
   13.60    .15188E+02     .11264E-05 
   13.80    .13582E+02     .11932E-05 
   14.00    .12204E+02     .12639E-05 
   14.20    .11012E+02     .13378E-05 
   14.40    .99732E+01     .14138E-05 
   14.60    .90614E+01     .14910E-05 
   14.80    .82545E+01     .15684E-05 
   15.00    .75347E+01     .16453E-05 
E=600 
    2.00    .10772E+07     .25560E-07 
    2.20    .72987E+06     .36334E-07 
    2.40    .50965E+06     .48473E-07 
    2.60    .36479E+06     .61872E-07 
    2.80    .26653E+06     .76432E-07 
    3.00    .19814E+06     .92060E-07 
    3.20    .14948E+06     .10867E-06 
    3.40    .11420E+06     .12618E-06 
    3.60    .88191E+05     .14451E-06 
    3.80    .68746E+05     .16360E-06 
    4.00    .54023E+05     .18337E-06 
    4.20    .42753E+05     .20375E-06 
    4.40    .34043E+05     .22467E-06 
    4.60    .27252E+05     .24608E-06 
    4.80    .21917E+05     .26790E-06 
    5.00    .17699E+05     .29008E-06 
    5.20    .14343E+05     .31253E-06 
    5.40    .11658E+05     .33519E-06 
    5.60    .95015E+04     .35798E-06 
    5.80    .77611E+04     .38084E-06 
    6.00    .63517E+04     .40368E-06 
    6.20    .52067E+04     .42642E-06 
    6.40    .42738E+04     .44898E-06 
    6.60    .35119E+04     .47126E-06 
    6.80    .28884E+04     .49317E-06 
    7.00    .23772E+04     .51462E-06 
    7.20    .19575E+04     .53551E-06 
    7.40    .16126E+04     .55573E-06 
    7.60    .13287E+04     .57519E-06 
    7.80    .10950E+04     .59378E-06 
    8.00    .90249E+03     .61142E-06 
    8.20    .74386E+03     .62800E-06 
    8.40    .61315E+03     .64346E-06 
    8.60    .50543E+03     .65775E-06 
    8.80    .41670E+03     .67084E-06 
    9.00    .34363E+03     .68273E-06 
    9.20    .28348E+03     .69351E-06 
    9.40    .23401E+03     .70328E-06 
    9.60    .19334E+03     .71226E-06 
    9.80    .15992E+03     .72076E-06 
   10.00    .13250E+03     .72917E-06 
   10.20    .10999E+03     .73805E-06 
   10.40    .91544E+02     .74804E-06 
   10.60    .76423E+02     .75996E-06 
   10.80    .64035E+02     .77469E-06 
   11.00    .53884E+02     .79320E-06 
   11.20    .45563E+02     .81647E-06 
   11.40    .38735E+02     .84545E-06 
   11.60    .33125E+02     .88093E-06 
   11.80    .28504E+02     .92348E-06 
   12.00    .24688E+02     .97342E-06 
   12.20    .21523E+02     .10307E-05 
   12.40    .18885E+02     .10949E-05 
   12.60    .16673E+02     .11653E-05 
   12.80    .14806E+02     .12410E-05 
   13.00    .13216E+02     .13207E-05 
   13.20    .11852E+02     .14033E-05 
   13.40    .10670E+02     .14875E-05 
   13.60    .96367E+01     .15722E-05 
   13.80    .87242E+01     .16561E-05 
   14.00    .79115E+01     .17385E-05 
   14.20    .71818E+01     .18186E-05 
   14.40    .65218E+01     .18957E-05 
   14.60    .59212E+01     .19694E-05 
   14.80    .53719E+01     .20393E-05 
   15.00    .48676E+01     .21051E-05 
E=650
    2.00    .91063E+06     .34258E-07 
    2.20    .61477E+06     .47178E-07 
    2.40    .42746E+06     .61586E-07 
    2.60    .30451E+06     .77354E-07 
    2.80    .22132E+06     .94367E-07 
    3.00    .16359E+06     .11252E-06 
    3.20    .12265E+06     .13170E-06 
