StartDate,lognumber,runID,run_type,production_target_type,optics_target_type,url,StartTimestamp,comment_text,fulltitle
2019-11-23,3743340,21466,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3743340, Fri Nov 22 17:56:47 EST 2019,1 and VDC HVs on and no GEM det,"Start_Run_21466,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with PS1=PS2=1 and VDC HVs on and no GEM det, S0A=S0B=-1600V,S3=-1300, ATIN =-1550, other quartz HV =-1850V"
2019-11-23,3743338,2373,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3743338, Fri Nov 22 17:56:52 EST 2019,1 with VDC HVs on,"Start_Run_2373,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with Ps1=ps2=1 with VDC HVs on, no GEM, HV S0A=-1400,S0B=-1600, S3=-1300, All Quartz HV=-1850"
2019-11-23,3743202,21465,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3743202, Fri Nov 22 11:33:56 EST 2019,1 and VDC HVs on and no GEM det,"Start_Run_21465,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with PS1=PS2=1 and VDC HVs on and no GEM det, S0A=S0B=-1600V,S3=-1300, ATIN =-1500, other quartz HV =-1800V"
2019-11-23,3743199,2372,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3743199, Fri Nov 22 11:33:57 EST 2019,1 with VDC HVs on,"Start_Run_2372,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with Ps1=ps2=1 with VDC HVs on, no GEM, HV S0A=-1400,S0B=-1600, S3=-1300, All Quartz HV=-1800"
2019-11-28,3744646,21470,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744646, Wed Nov 27 15:32:59 EST 2019, 4000V,"Start_Run_21470,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1 GEM HV = 4000V, overnight cosmic run"
2019-11-28,3744626,2377,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744626, Wed Nov 27 15:31:27 EST 2019,1,"Start_Run_2377,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1, GEM HV = 4050/4100/4050V,VDC HV ON, S0&S3 cosmic run"
2019-11-28,3744625,21469,Other,Home,Home,https://logbooks.jlab.org/entry/3744625, Wed Nov 27 15:25:29 EST 2019, 2000V,"Start_Run_21469,Run_type=Other,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=0 GEM HV = 2000V, clock trigger, pedestal run"
2019-11-28,3744622,2376,Other,Home,Home,https://logbooks.jlab.org/entry/3744622, Wed Nov 27 15:25:22 EST 2019,100,"Start_Run_2376,Run_type=Other,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=100, GEM HV = 2000V, clock trigger, pedestal run"
2019-11-28,3744619,21468,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744619, Wed Nov 27 15:17:22 EST 2019,1,"Start_Run_21468,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=1, GEM HV = 2000V, clock trigger, pedestal run"
2019-11-28,3744618,2375,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744618, Wed Nov 27 15:17:23 EST 2019,100,"Start_Run_2375,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=100, GEM HV = 2000V, clock trigger, pedestal run"
2019-11-28,3744613,21467,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744613, Wed Nov 27 15:03:00 EST 2019,1,"Start_Run_21467,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=1, GEM HV = 2000V, clock trigger, pedestal run"
2019-11-28,3744610,2374,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744610, Wed Nov 27 15:02:52 EST 2019,100,"Start_Run_2374,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps8=100, GEM HV = 2000V, clock trigger, pedestal run"
2019-11-29,3744902,2378,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3744902, Thu Nov 28 19:17:44 EST 2019,1,"Start_Run_2378,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1, GEM HV = 4050/4100/4050V,VDC HV ON, S0&S3 cosmic run"
2019-11-30,3745054,21471,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3745054, Fri Nov 29 15:13:06 EST 2019, 4050V (ISU),"Start_Run_21471,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1 GEM HV = 4050V (ISU), overnight cosmic run after quartz det installed"
2019-11-30,3745053,2379,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3745053, Fri Nov 29 15:13:03 EST 2019,1,"Start_Run_2379,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1, GEM HV = 4050/4100/4050V HV=-4050V (ISU),VDC HV ON, S0&S3 cosmic run, after quartz det installed"
2019-12-05,3746667,21473,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3746667, Wed Dec 4 17:30:34 EST 2019, 4050V (ISU),"Start_Run_21473,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1 GEM HV = 4050V (ISU),Cosmic run with T6 trigger"
2019-12-05,3746662,2381,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3746662, Wed Dec 4 17:30:35 EST 2019,1,"Start_Run_2381,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1, GEM HV = 4050/4100/4050V HV=-4050V (ISU),VDC HV ON, Cosmic run with T6 trigger, after quartz det installed"
2019-12-05,3746659,21472,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3746659, Wed Dec 4 17:26:20 EST 2019, 4050V (ISU),"Start_Run_21472,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1 GEM HV = 4050V (ISU),Pedestal for GEM data with pulser trigger"
2019-12-05,3746658,2380,Cosmics,Home,Home,https://logbooks.jlab.org/entry/3746658, Wed Dec 4 17:27:17 EST 2019,1,"Start_Run_2380,Run_type=Cosmics,production_target_type=Home,optics_target_type=Home,comment_text=Cosmic data with ps6=1, GEM HV = 4050/4100/4050V HV=-4050V (ISU),VDC HV ON, Pedestal with pulser trigger, after quartz det installed"
2019-12-06,3747373,2383,Spot++,Home,Home,https://logbooks.jlab.org/entry/3747373, Thu Dec 5 22:06:22 EST 2019,raster size check with pulser trigger,"Start_Run_2383,Run_type=Spot++,production_target_type=Home,optics_target_type=Home,comment_text=raster size check with pulser trigger"
2019-12-06,3747344,21474,Spot++,Home,Home,https://logbooks.jlab.org/entry/3747344, Thu Dec 5 20:55:53 EST 2019,spot++ for raster size estimation,"Start_Run_21474,Run_type=Spot++,production_target_type=Home,optics_target_type=Home,comment_text=spot++ for raster size estimation"
2019-12-06,3747343,2382,Spot++,Home,Home,https://logbooks.jlab.org/entry/3747343, Thu Dec 5 20:55:52 EST 2019,raster size check with pulser trigger,"Start_Run_2382,Run_type=Spot++,production_target_type=Home,optics_target_type=Home,comment_text=raster size check with pulser trigger"
2019-12-07,3748086,2415,Spot++,Carbon Hole,Home,https://logbooks.jlab.org/entry/3748086, Fri Dec 6 23:56:48 EST 2019,1,"Start_Run_2415,Run_type=Spot++,production_target_type=Carbon Hole,optics_target_type=Home,comment_text=Spot++ with T1=T2=T6=1, raster 8.87X2.9 4AX=4EX=1.7, 4AY=4EY=-0.37"
2019-12-07,3748082,21504,Spot++,Carbon Hole,Home,https://logbooks.jlab.org/entry/3748082, Fri Dec 6 23:51:05 EST 2019,1,"Start_Run_21504,Run_type=Spot++,production_target_type=Carbon Hole,optics_target_type=Home,comment_text=Spot++ wit T1=T2=T6=1, raster 8.8X2.9, 4AX=4EX=1.7, 4AY=4EY=-0.37"
